,name,works,prompt copy,,名前,作品,
1girl,selkie \(fire emblem\),fire emblem,"(1girl,selkie \(fire emblem\),fire emblem),",,セルキー \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,serra \(fire emblem\),fire emblem,"(1girl,serra \(fire emblem\),fire emblem),",,セラ \(ファイアーエムブレム\),ファイアーエムブレム,
1boy,seteth \(fire emblem\),fire emblem,"(1boy,seteth \(fire emblem\),fire emblem),",,セテス \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,setsuna \(fire emblem\),fire emblem,"(1girl,setsuna \(fire emblem\),fire emblem),",,刹那 \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,severa \(fire emblem\),fire emblem,"(1girl,severa \(fire emblem\),fire emblem),",,セベラ \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,shamir nevrand,fire emblem,"(1girl,shamir nevrand,fire emblem),",,シャミール・ネブランド,ファイアーエムブレム,
1girl,shanna \(fire emblem\),fire emblem,"(1girl,shanna \(fire emblem\),fire emblem),",,シャナ \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,sharena \(fire emblem\),fire emblem,"(1girl,sharena \(fire emblem\),fire emblem),",,シャレナ\(ファイアーエムブレム\),ファイアーエムブレム,
1girl,shez \(female\) \(fire emblem\),fire emblem,"(1girl,shez \(female\) \(fire emblem\),fire emblem),",,シェズ \(女性\) \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,shez \(fire emblem\),fire emblem,"(1girl,shez \(fire emblem\),fire emblem),",,シェズ \(ファイアーエムブレム\),ファイアーエムブレム,
1boy,shez \(male\) \(fire emblem\),fire emblem,"(1boy,shez \(male\) \(fire emblem\),fire emblem),",,シェズ \(男性\) \(ファイアーエムブレム\),ファイアーエムブレム,
1boy,shigure \(fire emblem\),fire emblem,"(1boy,shigure \(fire emblem\),fire emblem),",,シグレ \(ファイアーエムブレム\),ファイアーエムブレム,
1boy,sigurd \(fire emblem\),fire emblem,"(1boy,sigurd \(fire emblem\),fire emblem),",,シグルド \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,soleil \(fire emblem\),fire emblem,"(1girl,soleil \(fire emblem\),fire emblem),",,ソレイユ\(ファイアーエムブレム\),ファイアーエムブレム,
1girl,sommie \(fire emblem\),fire emblem,"(1girl,sommie \(fire emblem\),fire emblem),",,ソミー \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,sonia \(fire emblem\),fire emblem,"(1girl,sonia \(fire emblem\),fire emblem),",,ソニア \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,sonya \(fire emblem\),fire emblem,"(1girl,sonya \(fire emblem\),fire emblem),",,ソーニャ \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,sophia \(fire emblem\),fire emblem,"(1girl,sophia \(fire emblem\),fire emblem),",,ソフィア \(ファイアーエムブレム\),ファイアーエムブレム,
1boy,soren \(fire emblem\),fire emblem,"(1boy,soren \(fire emblem\),fire emblem),",,ソーレン \(ファイアーエムブレム\),ファイアーエムブレム,
1boy,sothe \(fire emblem\),fire emblem,"(1boy,sothe \(fire emblem\),fire emblem),",,\(ファイアーエムブレム\)を和らげる,ファイアーエムブレム,
1girl,sothis \(fire emblem\),fire emblem,"(1girl,sothis \(fire emblem\),fire emblem),",,ソティス \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,sumia \(fire emblem\),fire emblem,"(1girl,sumia \(fire emblem\),fire emblem),",,スミア \(ファイアーエムブレム\),ファイアーエムブレム,
1boy,sylvain jose gautier,fire emblem,"(1boy,sylvain jose gautier,fire emblem),",,シルヴァン・ジョゼ・ゴーティエ,ファイアーエムブレム,
1girl,tailtiu \(fire emblem\),fire emblem,"(1girl,tailtiu \(fire emblem\),fire emblem),",,テイルティウ \(ファイアーエムブレム\),ファイアーエムブレム,
1boy,takumi \(fire emblem\),fire emblem,"(1boy,takumi \(fire emblem\),fire emblem),",,タクミ \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,tana \(fire emblem\),fire emblem,"(1girl,tana \(fire emblem\),fire emblem),",,タナ \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,tharja \(fire emblem\),fire emblem,"(1girl,tharja \(fire emblem\),fire emblem),",,サージャ \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,tiki \(adult\) \(fire emblem\),fire emblem,"(1girl,tiki \(adult\) \(fire emblem\),fire emblem),",,ティキ \(大人\) \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,tiki \(adult\) \(summer\) \(fire emblem\),fire emblem,"(1girl,tiki \(adult\) \(summer\) \(fire emblem\),fire emblem),",,ティキ \(大人\) \(夏\) \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,tiki \(fire emblem\),fire emblem,"(1girl,tiki \(fire emblem\),fire emblem),",,ティキ \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,tiki \(young\) \(fire emblem\),fire emblem,"(1girl,tiki \(young\) \(fire emblem\),fire emblem),",,ティキ \(若い\) \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,timerra \(fire emblem\),fire emblem,"(1girl,timerra \(fire emblem\),fire emblem),",,ティメラ \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,titania \(fire emblem\),fire emblem,"(1girl,titania \(fire emblem\),fire emblem),",,ティターニア \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,triandra \(fire emblem\),fire emblem,"(1girl,triandra \(fire emblem\),fire emblem),",,トリアンドラ \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,ursula \(fire emblem\),fire emblem,"(1girl,ursula \(fire emblem\),fire emblem),",,ウルスラ \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,velouria \(fire emblem\),fire emblem,"(1girl,velouria \(fire emblem\),fire emblem),",,ヴェローリア \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,veronica \(fire emblem\),fire emblem,"(1girl,veronica \(fire emblem\),fire emblem),",,ベロニカ \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,veyle \(fire emblem\),fire emblem,"(1girl,veyle \(fire emblem\),fire emblem),",,ヴェイル \(ファイアーエムブレム\),ファイアーエムブレム,
1boy,xander \(fire emblem\),fire emblem,"(1boy,xander \(fire emblem\),fire emblem),",,ザンダー \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,ylgr \(fire emblem\),fire emblem,"(1girl,ylgr \(fire emblem\),fire emblem),",,イルグル \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,yunaka \(fire emblem\),fire emblem,"(1girl,yunaka \(fire emblem\),fire emblem),",,ゆなか \(ファイアーエムブレム\),ファイアーエムブレム,
1girl,yune \(fire emblem\),fire emblem,"(1girl,yune \(fire emblem\),fire emblem),",,ユネ \(ファイアーエムブレム\),ファイアーエムブレム,
1boy,yuri leclerc,fire emblem,"(1boy,yuri leclerc,fire emblem),",,ユーリ・ルクレール,ファイアーエムブレム,
1boy,adelbert steiner,final fantasy,"(1boy,adelbert steiner,final fantasy),",,アデルベルト・シュタイナー,ファイナルファンタジー,
1girl,adventurer \(ff11\),final fantasy,"(1girl,adventurer \(ff11\),final fantasy),",,冒険者 \(ff11\),ファイナルファンタジー,
1boy,adventurer \(ff14\),final fantasy,"(1boy,adventurer \(ff14\),final fantasy),",,冒険者 \(ff14\),ファイナルファンタジー,
1girl,aerith gainsborough,final fantasy,"(1girl,aerith gainsborough,final fantasy),",,エアリス・ゲインズブール,ファイナルファンタジー,
1girl,aerith gainsborough \(red dress\),final fantasy,"(1girl,aerith gainsborough \(red dress\),final fantasy),",,エアリス・ゲインズブール \(赤いドレス\),ファイナルファンタジー,
1girl,agrias oaks,final fantasy,"(1girl,agrias oaks,final fantasy),",,アグリアス オークス,ファイナルファンタジー,
1girl,alisaie leveilleur,final fantasy,"(1girl,alisaie leveilleur,final fantasy),",,アリゼ・ルヴェユール,ファイナルファンタジー,
1boy,alphinaud leveilleur,final fantasy,"(1boy,alphinaud leveilleur,final fantasy),",,アルフィノー・レヴェユール,ファイナルファンタジー,
1girl,altera moontail,final fantasy,"(1girl,altera moontail,final fantasy),",,アルテラ ムーンテール,ファイナルファンタジー,
1girl,angelise reiter,final fantasy,"(1girl,angelise reiter,final fantasy),",,アンゼリーゼ・ライター,ファイナルファンタジー,
1girl,aranea highwind,final fantasy,"(1girl,aranea highwind,final fantasy),",,アラネア・ハイウィンド,ファイナルファンタジー,
1boy,ardbert hylfyst,final fantasy,"(1boy,ardbert hylfyst,final fantasy),",,アードバート・ヒルフィスト,ファイナルファンタジー,
1girl,ashelia b'nargin dalmasca,final fantasy,"(1girl,ashelia b'nargin dalmasca,final fantasy),",,アシェリア・ブナルジン・ダルマスカ,ファイナルファンタジー,
1girl,astrologian \(final fantasy\),final fantasy,"(1girl,astrologian \(final fantasy\),final fantasy),",,占星術師 \(ファイナルファンタジー\),ファイナルファンタジー,
1girl,bahamut \(final fantasy\),final fantasy,"(1girl,bahamut \(final fantasy\),final fantasy),",,バハムート \(ファイナルファンタジー\),ファイナルファンタジー,
1boy,balthier,final fantasy,"(1boy,balthier,final fantasy),",,バルシール,ファイナルファンタジー,
1girl,barbariccia,final fantasy,"(1girl,barbariccia,final fantasy),",,バーバリシア,ファイナルファンタジー,
1girl,bard \(final fantasy\),final fantasy,"(1girl,bard \(final fantasy\),final fantasy),",,吟遊詩人 \(ファイナルファンタジー\),ファイナルファンタジー,
1boy,barret wallace,final fantasy,"(1boy,barret wallace,final fantasy),",,バレット・ウォレス,ファイナルファンタジー,
1boy,bartz klauser,final fantasy,"(1boy,bartz klauser,final fantasy),",,バーツ・クラウザー,ファイナルファンタジー,
1girl,beatrix \(ff9\),final fantasy,"(1girl,beatrix \(ff9\),final fantasy),",,ベアトリクス \(ff9\),ファイナルファンタジー,
1girl,black mage,final fantasy,"(1girl,black mage,final fantasy),",,黒魔道士,ファイナルファンタジー,
1boy,buront,final fantasy,"(1boy,buront,final fantasy),",,真っ赤な,ファイナルファンタジー,
1boy,cait sith \(ff7\),final fantasy,"(1boy,cait sith \(ff7\),final fantasy),",,シット \(ff7\),ファイナルファンタジー,
1girl,carbuncle \(final fantasy\),final fantasy,"(1girl,carbuncle \(final fantasy\),final fantasy),",,カーバンクル \(ファイナルファンタジー\),ファイナルファンタジー,
1boy,cecil harvey,final fantasy,"(1boy,cecil harvey,final fantasy),",,セシル・ハーベイ,ファイナルファンタジー,
1girl,celes chere,final fantasy,"(1girl,celes chere,final fantasy),",,セレス・チェレ,ファイナルファンタジー,
1girl,chocobo,final fantasy,"(1girl,chocobo,final fantasy),",,チョコボ,ファイナルファンタジー,
1boy,cid highwind,final fantasy,"(1boy,cid highwind,final fantasy),",,シド・ハイウィンド,ファイナルファンタジー,
1girl,cindy aurum,final fantasy,"(1girl,cindy aurum,final fantasy),",,シンディ・オーラム,ファイナルファンタジー,
1boy,clive rosfield,final fantasy,"(1boy,clive rosfield,final fantasy),",,クライブ・ロスフィールド,ファイナルファンタジー,
1boy,cloud strife,final fantasy,"(1boy,cloud strife,final fantasy),",,雲の争い,ファイナルファンタジー,
1boy,crystal exarch,final fantasy,"(1boy,crystal exarch,final fantasy),",,クリスタルサーチ,ファイナルファンタジー,
1girl,dancer \(final fantasy\),final fantasy,"(1girl,dancer \(final fantasy\),final fantasy),",,ダンサー \(ファイナルファンタジー\),ファイナルファンタジー,
1girl,dark knight \(final fantasy\),final fantasy,"(1girl,dark knight \(final fantasy\),final fantasy),",,ダークナイト \(ファイナルファンタジー\),ファイナルファンタジー,
1girl,dragoon \(final fantasy\),final fantasy,"(1girl,dragoon \(final fantasy\),final fantasy),",,ドラグーン \(ファイナルファンタジー\),ファイナルファンタジー,
1boy,edgar roni figaro,final fantasy,"(1boy,edgar roni figaro,final fantasy),",,エドガー・ロニ・フィガロ,ファイナルファンタジー,
1boy,edward geraldine,final fantasy,"(1boy,edward geraldine,final fantasy),",,エドワード・ジェラルディン,ファイナルファンタジー,
1girl,eiko carol,final fantasy,"(1girl,eiko carol,final fantasy),",,エイコ・キャロル,ファイナルファンタジー,
1girl,elena \(ff7\),final fantasy,"(1girl,elena \(ff7\),final fantasy),",,エレナ \(ff7\),ファイナルファンタジー,
1boy,emet-selch,final fantasy,"(1boy,emet-selch,final fantasy),",,エメットセルク,ファイナルファンタジー,
1boy,estinien varlineau,final fantasy,"(1boy,estinien varlineau,final fantasy),",,エスティニアン・ヴァリノー,ファイナルファンタジー,
1girl,faris scherwiz,final fantasy,"(1girl,faris scherwiz,final fantasy),",,ファリス・シェルヴィッツ,ファイナルファンタジー,
1girl,fei fakkuma,final fantasy,"(1girl,fei fakkuma,final fantasy),",,フェイ・ファクマ,ファイナルファンタジー,
1boy,firion,final fantasy,"(1boy,firion,final fantasy),",,フリオン,ファイナルファンタジー,
1girl,fran \(ff12\),final fantasy,"(1girl,fran \(ff12\),final fantasy),",,フラン \(ff12\),ファイナルファンタジー,
1girl,freija crescent,final fantasy,"(1girl,freija crescent,final fantasy),",,フレイヤ・クレセント,ファイナルファンタジー,
1boy,g'raha tia,final fantasy,"(1boy,g'raha tia,final fantasy),",,グラハ・ティア,ファイナルファンタジー,
1girl,gaia \(ff14\),final fantasy,"(1girl,gaia \(ff14\),final fantasy),",,ガイア \(ff14\),ファイナルファンタジー,
1boy,galuf halm baldesion,final fantasy,"(1boy,galuf halm baldesion,final fantasy),",,ガラフ・ハルム・バルデシオン,ファイナルファンタジー,
1girl,garnet til alexandros xvii,final fantasy,"(1girl,garnet til alexandros xvii,final fantasy),",,アレクサンドロス17世までのガーネット,ファイナルファンタジー,
1girl,geomancer \(fft\),final fantasy,"(1girl,geomancer \(fft\),final fantasy),",,風水士 \(fft\),ファイナルファンタジー,
1boy,gladiolus amicitia,final fantasy,"(1boy,gladiolus amicitia,final fantasy),",,グラジオラス・アミシティア,ファイナルファンタジー,
1boy,golbez,final fantasy,"(1boy,golbez,final fantasy),",,ゴルベス,ファイナルファンタジー,
1girl,gunner \(final fantasy\),final fantasy,"(1girl,gunner \(final fantasy\),final fantasy),",,ガンナー \(ファイナルファンタジー\),ファイナルファンタジー,
1boy,haurchefant greystone,final fantasy,"(1boy,haurchefant greystone,final fantasy),",,オルシュファン グレイストーン,ファイナルファンタジー,
1boy,hermes \(ff14\),final fantasy,"(1boy,hermes \(ff14\),final fantasy),",,エルメス \(ff14\),ファイナルファンタジー,
1girl,hilda ware,final fantasy,"(1girl,hilda ware,final fantasy),",,ヒルダウェア,ファイナルファンタジー,
1boy,hope estheim,final fantasy,"(1boy,hope estheim,final fantasy),",,ホープエステム,ファイナルファンタジー,
1girl,hydaelyn,final fantasy,"(1girl,hydaelyn,final fantasy),",,ハイデリン,ファイナルファンタジー,
1boy,hythlodaeus,final fantasy,"(1boy,hythlodaeus,final fantasy),",,ヒドロダエウス,ファイナルファンタジー,
1boy,ignis scientia,final fantasy,"(1boy,ignis scientia,final fantasy),",,イグニス・サイエンティア,ファイナルファンタジー,
1girl,iris amicitia,final fantasy,"(1girl,iris amicitia,final fantasy),",,アイリス・アミシティア,ファイナルファンタジー,
1boy,jecht,final fantasy,"(1boy,jecht,final fantasy),",,ジェクト,ファイナルファンタジー,
1girl,jessie rasberry,final fantasy,"(1girl,jessie rasberry,final fantasy),",,ジェシー・ラズベリー,ファイナルファンタジー,
1girl,jill warrick,final fantasy,"(1girl,jill warrick,final fantasy),",,ジル・ウォリック,ファイナルファンタジー,
1boy,joshua rosfield,final fantasy,"(1boy,joshua rosfield,final fantasy),",,ジョシュア・ロスフィールド,ファイナルファンタジー,
1boy,kain highwind,final fantasy,"(1boy,kain highwind,final fantasy),",,ケイン・ハイウィンド,ファイナルファンタジー,
1boy,kefka palazzo,final fantasy,"(1boy,kefka palazzo,final fantasy),",,ケフカ パラッツォ,ファイナルファンタジー,
1girl,krile mayer baldesion \(ff5\),final fantasy,"(1girl,krile mayer baldesion \(ff5\),final fantasy),",,クリル・メイヤー・バルデシオン \(ff5\),ファイナルファンタジー,
1boy,kuja,final fantasy,"(1boy,kuja,final fantasy),",,クジャ,ファイナルファンタジー,
1boy,laguna loire,final fantasy,"(1boy,laguna loire,final fantasy),",,ロワールラグーナ,ファイナルファンタジー,
1girl,lenna charlotte tycoon,final fantasy,"(1girl,lenna charlotte tycoon,final fantasy),",,レナ・シャーロット・タイクーン,ファイナルファンタジー,
1girl,lightning farron,final fantasy,"(1girl,lightning farron,final fantasy),",,ライトニング・ファロン,ファイナルファンタジー,
1boy,locke cole,final fantasy,"(1boy,locke cole,final fantasy),",,ロック・コール,ファイナルファンタジー,
1girl,lulu \(ff10\),final fantasy,"(1girl,lulu \(ff10\),final fantasy),",,ルル \(ff10\),ファイナルファンタジー,
1girl,lunafreya nox fleuret,final fantasy,"(1girl,lunafreya nox fleuret,final fantasy),",,ルナフレーナ・ノックス・フルーレ,ファイナルファンタジー,
1girl,marlene wallace,final fantasy,"(1girl,marlene wallace,final fantasy),",,マーリーン・ウォレス,ファイナルファンタジー,
1girl,meteion,final fantasy,"(1girl,meteion,final fantasy),",,メテイオン,ファイナルファンタジー,
1girl,minfilia warde,final fantasy,"(1girl,minfilia warde,final fantasy),",,ミンフィリア・ウォード,ファイナルファンタジー,
1girl,mog,final fantasy,"(1girl,mog,final fantasy),",,モグよ,ファイナルファンタジー,
1girl,monk \(fft\),final fantasy,"(1girl,monk \(fft\),final fantasy),",,モンク \(fft\),ファイナルファンタジー,
1girl,monk \(final fantasy\),final fantasy,"(1girl,monk \(final fantasy\),final fantasy),",,モンク \(ファイナルファンタジー\),ファイナルファンタジー,
1girl,moogle,final fantasy,"(1girl,moogle,final fantasy),",,モーグリ,ファイナルファンタジー,
1girl,ninja \(final fantasy\),final fantasy,"(1girl,ninja \(final fantasy\),final fantasy),",,忍者 \(ファイナルファンタジー\),ファイナルファンタジー,
1boy,noctis lucis caelum,final fantasy,"(1boy,noctis lucis caelum,final fantasy),",,ノクティス・ルシス・チェラム,ファイナルファンタジー,
1girl,oerba dia vanille,final fantasy,"(1girl,oerba dia vanille,final fantasy),",,エルバ・ディア・ヴァニラ,ファイナルファンタジー,
1girl,oerba yun fang,final fantasy,"(1girl,oerba yun fang,final fantasy),",,オルバ・ユン・ファング,ファイナルファンタジー,
1boy,onion knight,final fantasy,"(1boy,onion knight,final fantasy),",,オニオンナイト,ファイナルファンタジー,
1girl,ovelia atkascha,final fantasy,"(1girl,ovelia atkascha,final fantasy),",,オヴェリア・アトカシャ,ファイナルファンタジー,
1girl,paladin \(final fantasy\),final fantasy,"(1girl,paladin \(final fantasy\),final fantasy),",,パラディン \(ファイナルファンタジー\),ファイナルファンタジー,
1girl,penelo,final fantasy,"(1girl,penelo,final fantasy),",,ペネロ,ファイナルファンタジー,
1girl,porom,final fantasy,"(1girl,porom,final fantasy),",,ポロム,ファイナルファンタジー,
1girl,prishe,final fantasy,"(1girl,prishe,final fantasy),",,プリッシュ,ファイナルファンタジー,
1boy,prompto argentum,final fantasy,"(1boy,prompto argentum,final fantasy),",,プロンプト アルジェンタム,ファイナルファンタジー,
1boy,quina quen,final fantasy,"(1boy,quina quen,final fantasy),",,キナクエン,ファイナルファンタジー,
1girl,quistis trepe,final fantasy,"(1girl,quistis trepe,final fantasy),",,キスティス・トレペ,ファイナルファンタジー,
1boy,ramza beoulve,final fantasy,"(1boy,ramza beoulve,final fantasy),",,ラムザ・ベオルブ,ファイナルファンタジー,
1girl,reaper \(final fantasy\),final fantasy,"(1girl,reaper \(final fantasy\),final fantasy),",,死神 \(ファイナルファンタジー\),ファイナルファンタジー,
1girl,red mage,final fantasy,"(1girl,red mage,final fantasy),",,赤魔道士,ファイナルファンタジー,
1boy,red xiii,final fantasy,"(1boy,red xiii,final fantasy),",,レッドxii,ファイナルファンタジー,
1girl,relm arrowny,final fantasy,"(1girl,relm arrowny,final fantasy),",,レルム・アローニー,ファイナルファンタジー,
1boy,reno \(ff7\),final fantasy,"(1boy,reno \(ff7\),final fantasy),",,リノ \(ff7\),ファイナルファンタジー,
1girl,rikku \(ff10\),final fantasy,"(1girl,rikku \(ff10\),final fantasy),",,リック \(ff10\),ファイナルファンタジー,
1girl,rinoa heartilly,final fantasy,"(1girl,rinoa heartilly,final fantasy),",,リノア・ハーティリー,ファイナルファンタジー,
1girl,rosa farrell,final fantasy,"(1girl,rosa farrell,final fantasy),",,ローザ・ファレル,ファイナルファンタジー,
1boy,rude \(ff7\),final fantasy,"(1boy,rude \(ff7\),final fantasy),",,失礼な\(ff7\),ファイナルファンタジー,
1girl,rydia \(ff4\),final fantasy,"(1girl,rydia \(ff4\),final fantasy),",,リディア \(ff4\),ファイナルファンタジー,
1girl,ryne waters,final fantasy,"(1girl,ryne waters,final fantasy),",,ラインウォーターズ,ファイナルファンタジー,
1boy,sabin rene figaro,final fantasy,"(1boy,sabin rene figaro,final fantasy),",,サビン・ルネ・フィガロ,ファイナルファンタジー,
1girl,sabotender,final fantasy,"(1girl,sabotender,final fantasy),",,妨害者,ファイナルファンタジー,
1girl,sabrith ebonclaw,final fantasy,"(1girl,sabrith ebonclaw,final fantasy),",,サブリス・エボンクロー,ファイナルファンタジー,
1boy,salamander coral,final fantasy,"(1boy,salamander coral,final fantasy),",,サンショウウオサンゴ,ファイナルファンタジー,
1girl,samurai \(final fantasy\),final fantasy,"(1girl,samurai \(final fantasy\),final fantasy),",,サムライ \(ファイナルファンタジー\),ファイナルファンタジー,
1girl,scholar \(final fantasy\),final fantasy,"(1girl,scholar \(final fantasy\),final fantasy),",,学者 \(ファイナルファンタジー\),ファイナルファンタジー,
1girl,selphie tilmitt,final fantasy,"(1girl,selphie tilmitt,final fantasy),",,セルフィー・ティルミット,ファイナルファンタジー,
1boy,sephiroth,final fantasy,"(1boy,sephiroth,final fantasy),",,セフィロス,ファイナルファンタジー,
1girl,serah farron,final fantasy,"(1girl,serah farron,final fantasy),",,セラ・ファロン,ファイナルファンタジー,
1girl,shantotto,final fantasy,"(1girl,shantotto,final fantasy),",,シャントット,ファイナルファンタジー,
1girl,shirma,final fantasy,"(1girl,shirma,final fantasy),",,シルマ,ファイナルファンタジー,
1girl,shiva \(final fantasy\),final fantasy,"(1girl,shiva \(final fantasy\),final fantasy),",,シヴァ \(ファイナルファンタジー\),ファイナルファンタジー,
1boy,squall leonhart,final fantasy,"(1boy,squall leonhart,final fantasy),",,スコール・レオンハート,ファイナルファンタジー,
1girl,summoner \(final fantasy\),final fantasy,"(1girl,summoner \(final fantasy\),final fantasy),",,サマナー \(ファイナルファンタジー\),ファイナルファンタジー,
1girl,tayelle ebonclaw,final fantasy,"(1girl,tayelle ebonclaw,final fantasy),",,テイエル・エボンクロー,ファイナルファンタジー,
1girl,terra branford,final fantasy,"(1girl,terra branford,final fantasy),",,テラ・ブランフォード,ファイナルファンタジー,
1girl,thancred waters,final fantasy,"(1girl,thancred waters,final fantasy),",,感謝の水,ファイナルファンタジー,
1boy,themis \(ff14\),final fantasy,"(1boy,themis \(ff14\),final fantasy),",,テーマは\(ff14\)です,ファイナルファンタジー,
1girl,thief \(final fantasy\),final fantasy,"(1girl,thief \(final fantasy\),final fantasy),",,泥棒 \(ファイナルファンタジー\),ファイナルファンタジー,
1boy,tidus,final fantasy,"(1boy,tidus,final fantasy),",,ティーダ,ファイナルファンタジー,
1girl,tifa lockhart,final fantasy,"(1girl,tifa lockhart,final fantasy),",,ティファ・ロックハート,ファイナルファンタジー,
1girl,tifa lockhart \(cowgirl\),final fantasy,"(1girl,tifa lockhart \(cowgirl\),final fantasy),",,ティファ・ロックハート \(騎乗位\),ファイナルファンタジー,
1girl,tifa lockhart \(refined dress\),final fantasy,"(1girl,tifa lockhart \(refined dress\),final fantasy),",,ティファ・ロックハート \(洗練されたドレス\),ファイナルファンタジー,
1girl,time mage,final fantasy,"(1girl,time mage,final fantasy),",,時の魔術師,ファイナルファンタジー,
1girl,torgal \(ff16\),final fantasy,"(1girl,torgal \(ff16\),final fantasy),",,トルガル \(ff16\),ファイナルファンタジー,
1girl,trance terra branford,final fantasy,"(1girl,trance terra branford,final fantasy),",,トランス・テラ・ブランフォード,ファイナルファンタジー,
1boy,tseng,final fantasy,"(1boy,tseng,final fantasy),",,ツェン,ファイナルファンタジー,
1girl,ultima \(fft\),final fantasy,"(1girl,ultima \(fft\),final fantasy),",,アルティマ \(fft\),ファイナルファンタジー,
1girl,ultimecia,final fantasy,"(1girl,ultimecia,final fantasy),",,アルティミシア,ファイナルファンタジー,
1boy,urianger augurelt,final fantasy,"(1boy,urianger augurelt,final fantasy),",,ウリアン・オーグレルト,ファイナルファンタジー,
1boy,vaan,final fantasy,"(1boy,vaan,final fantasy),",,ヴァーン,ファイナルファンタジー,
1girl,venat \(ff14\),final fantasy,"(1girl,venat \(ff14\),final fantasy),",,ヴェナト \(ff14\),ファイナルファンタジー,
1boy,vincent valentine,final fantasy,"(1boy,vincent valentine,final fantasy),",,ヴィンセント・バレンタイン,ファイナルファンタジー,
1boy,vivi ornitier,final fantasy,"(1boy,vivi ornitier,final fantasy),",,ヴィヴィ・オルニティエ,ファイナルファンタジー,
1girl,warrior \(final fantasy\),final fantasy,"(1girl,warrior \(final fantasy\),final fantasy),",,戦士 \(ファイナルファンタジー\),ファイナルファンタジー,
1boy,warrior of light \(ff1\),final fantasy,"(1boy,warrior of light \(ff1\),final fantasy),",,光の戦士\(ff1\),ファイナルファンタジー,
1girl,warrior of light \(ff14\),final fantasy,"(1girl,warrior of light \(ff14\),final fantasy),",,光の戦士 \(ff14\),ファイナルファンタジー,
1girl,white mage,final fantasy,"(1girl,white mage,final fantasy),",,白魔道士,ファイナルファンタジー,
1girl,white mage \(fft\),final fantasy,"(1girl,white mage \(fft\),final fantasy),",,白魔道士 \(fft\),ファイナルファンタジー,
1girl,y'shtola rhul,final fantasy,"(1girl,y'shtola rhul,final fantasy),",,ヤシュトラ・ルール,ファイナルファンタジー,
1girl,yotsuyu goe brutus,final fantasy,"(1girl,yotsuyu goe brutus,final fantasy),",,夜露越えブルータス,ファイナルファンタジー,
1girl,yuffie kisaragi,final fantasy,"(1girl,yuffie kisaragi,final fantasy),",,ユフィ・キサラギ,ファイナルファンタジー,
1girl,yuna \(ff10\),final fantasy,"(1girl,yuna \(ff10\),final fantasy),",,ユウナ \(ff10\),ファイナルファンタジー,
1boy,zack fair,final fantasy,"(1boy,zack fair,final fantasy),",,ザック・フェア,ファイナルファンタジー,
1boy,zenos yae galvus,final fantasy,"(1boy,zenos yae galvus,final fantasy),",,ゼノス・ヤエ・ガルバス,ファイナルファンタジー,
1boy,zidane tribal,final fantasy,"(1boy,zidane tribal,final fantasy),",,ジダン部族,ファイナルファンタジー,
1girl,abigail williams \(emerald float\) \(fate\),fate/grand order,"(1girl,abigail williams \(emerald float\) \(fate\),fate/grand order),",,アビゲイル・ウィリアムズ \(エメラルドフロート\) \(fate\),Fate/Grand Order,
1girl,abigail williams \(fate\),fate/grand order,"(1girl,abigail williams \(fate\),fate/grand order),",,アビゲイル・ウィリアムズ \(fate\),Fate/Grand Order,
1girl,abigail williams \(festival outfit\) \(fate\),fate/grand order,"(1girl,abigail williams \(festival outfit\) \(fate\),fate/grand order),",,アビゲイル・ウィリアムズ \(フェスティバル衣装\) \(fate\),Fate/Grand Order,
1girl,abigail williams \(second ascension\) \(fate\),fate/grand order,"(1girl,abigail williams \(second ascension\) \(fate\),fate/grand order),",,アビゲイル・ウィリアムズ \(第二の再臨\) \(fate\),Fate/Grand Order,
1girl,abigail williams \(swimsuit foreigner\) \(fate\),fate/grand order,"(1girl,abigail williams \(swimsuit foreigner\) \(fate\),fate/grand order),",,アビゲイル・ウィリアムズ \(水着外国人\) \(fate\),Fate/Grand Order,
